Feature,Importance
Export_Growth_Rate,0.3420800759109267
Export_Trend,0.23710230721044595
Export_MA3,0.14170837171247297
Drought_Impact,0.09258729210512515
Export_MA5,0.04588018605205357
Export_STD3,0.03727619341363999
Export_Lag1,0.02934746858258857
Export_Lag2,0.02145049263941391
Drought_Severity,0.011359313299983449
Export_Acceleration,0.005571695240951402
Drought_MA5,0.003741747891270411
Export_Lag3,0.00363336907591488
Population_Density,0.0032595668761712963
GDP_Growth,0.003077494247727507
GDP_Drought_Interaction,0.002964224460269118
Country_Export_Volatility,0.002953848862189667
Inflation,0.0028634186475818926
Drought_Lag2,0.002820961985465296
Country_Vulnerability,0.002714521947765167
Drought_MA3,0.0026586084190049703
Drought_Lag1,0.002576454402061582
Drought_Export_Interaction,0.002372387016976546
